line_number,msg,﻿B,P-010938,1,0000 ,   ,Building Line,BL        
5960,"Expected 7 columns, found 9 columns",B,P-332797,9,0275 ,   ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
6123,"Expected 7 columns, found 9 columns",B,P-333074,3,0086 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
6126,"Expected 7 columns, found 9 columns",B,P-333074,6,0203 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
6197,"Expected 7 columns, found 9 columns",B,P-333079,8,0150 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
6204,"Expected 7 columns, found 9 columns",B,P-333080,5,0250 ,E  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
6216,"Expected 7 columns, found 9 columns",B,P-333081,8,0182 ,E  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
6245,"Expected 7 columns, found 9 columns",B,P-333085,3,0032 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
6257,"Expected 7 columns, found 9 columns",B,P-333086,3,0100 ,W  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
6260,"Expected 7 columns, found 9 columns",B,P-333086,6,0135 ,E  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
6266,"Expected 7 columns, found 9 columns",B,P-333087,2,0000 ,W  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
6267,"Expected 7 columns, found 9 columns",B,P-333087,3,0172 ,E  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
6469,"Expected 7 columns, found 9 columns",B,P-333439,2,0040 ,W  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
7251,"Expected 7 columns, found 9 columns",B,P-333589,5,0172 ,W  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
7346,"Expected 7 columns, found 9 columns",B,P-334084,11,0434 ,E  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
7347,"Expected 7 columns, found 9 columns",B,P-334084,12,0540 ,W  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
7596,"Expected 7 columns, found 8 columns",B,P-334194,3,0017 ,   ,NO STANDING<---->HANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12,4 ROUTE RIDER-IF NECESSARY);REVISED 2/14/94 & SUPERSEDES SP-298B.                                         ,R7-61     
7877,"Expected 7 columns, found 9 columns",B,P-334360,5,0199 ,N  ,TAXI HAILING (SYMBOL) TAXI STAND --> (SUPERSEDES SP-327BA, SP-433BA, SP555BA & SP-557BA)                                                                                ,PS-10EA   
